label,City,Zip Code,Latitude,Longitude
Duncans Mills — 95430,Duncans Mills,95430,38.445603,-123.063756
Dunlap — 93621,Dunlap,93621,36.789213,-119.140338
Dunnigan — 95937,Dunnigan,95937,38.931425,-121.946081
Dunsmuir — 96025,Dunsmuir,96025,41.212695,-122.392067
Durham — 95938,Durham,95938,39.607831,-121.777959
Dutch Flat — 95714,Dutch Flat,95714,39.197215,-120.83679
Eagleville — 96110,Eagleville,96110,41.280341,-120.150381
Earlimart — 93219,Earlimart,93219,35.858054,-119.305858
Earp — 92242,Earp,92242,34.137742,-114.36514
Echo Lake — 95721,Echo Lake,95721,38.851842,-120.076204
Edwards — 93523,Edwards,93523,34.966777,-117.961179
El Cajon — 92019,El Cajon,92019,32.785165,-116.862648
El Cajon — 92020,El Cajon,92020,32.79697,-116.969082
El Cajon — 92021,El Cajon,92021,32.832706,-116.873258
El Centro — 92243,El Centro,92243,32.770393,-115.60915
El Cerrito — 94530,El Cerrito,94530,37.924838,-122.289145
El Dorado — 95623,El Dorado,95623,38.63153,-120.842609
El Dorado Hills — 95762,El Dorado Hills,95762,38.684437,-121.055634
El Monte — 91731,El Monte,91731,34.079934,-118.046695
El Monte — 91732,El Monte,91732,34.074492,-118.01462
El Nido — 95317,El Nido,95317,37.127386,-120.506422
El Portal — 95318,El Portal,95318,37.654551,-119.822984
El Segundo — 90245,El Segundo,90245,33.917145,-118.401554
El Sobrante — 94803,El Sobrante,94803,37.963995,-122.288296
Eldridge — 95431,Eldridge,95431,38.348884,-122.51699
Elk — 95432,Elk,95432,39.108252,-123.645121
Elk Creek — 95939,Elk Creek,95939,39.53222,-122.594879
Elk Grove — 95624,Elk Grove,95624,38.434138,-121.30587
Elk Grove — 95758,Elk Grove,95758,38.35363,-121.44195
Elmira — 95625,Elmira,95625,38.349195,-121.902943
Elverta — 95626,Elverta,95626,38.734997,-121.463719
Emeryville — 94608,Emeryville,94608,37.83726,-122.287648
Emigrant Gap — 95715,Emigrant Gap,95715,39.23754,-120.720196
Encinitas — 92024,Encinitas,92024,33.054579,-117.25665
